"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 13 11:38:37 GMT 2026","Fri Mar 13 11:38:38 GMT 2026","225","tests","test_products","TestProducts","","","Негативная проверка получения товара по id",""
"passed","Fri Mar 13 11:38:46 GMT 2026","Fri Mar 13 11:38:46 GMT 2026","235","tests","test_session_management","TestSessionManagement","","","Сброс конкретного ресурса: None",""
"passed","Fri Mar 13 11:38:45 GMT 2026","Fri Mar 13 11:38:46 GMT 2026","206","tests","test_session_management","TestSessionManagement","","","Сброс конкретного ресурса: orders",""
"passed","Fri Mar 13 11:38:36 GMT 2026","Fri Mar 13 11:38:37 GMT 2026","396","tests","test_products","TestProducts","","","Получение полного списка товаров",""
"passed","Fri Mar 13 11:38:44 GMT 2026","Fri Mar 13 11:38:44 GMT 2026","553","tests","test_products","TestProducts","","","Негативная проверка удаления: повторное удаление",""
"passed","Fri Mar 13 11:38:46 GMT 2026","Fri Mar 13 11:38:46 GMT 2026","218","tests","test_session_management","TestSessionManagement","","","Сброс конкретного ресурса: reviews",""
"passed","Fri Mar 13 11:38:45 GMT 2026","Fri Mar 13 11:38:45 GMT 2026","378","tests","test_session_management","TestSessionManagement","","","Сброс конкретного ресурса: categories",""
"passed","Fri Mar 13 11:38:42 GMT 2026","Fri Mar 13 11:38:42 GMT 2026","254","tests","test_products","TestProducts","","","Негативные проверки обновления товара",""
"skipped","Fri Mar 13 11:38:42 GMT 2026","Fri Mar 13 11:38:43 GMT 2026","355","tests","test_products","TestProducts","","","Негативные проверки обновления товара",""
"passed","Fri Mar 13 11:38:40 GMT 2026","Fri Mar 13 11:38:40 GMT 2026","289","tests","test_products","TestProducts","","","Негативные проверки создания товара",""
"passed","Fri Mar 13 11:38:38 GMT 2026","Fri Mar 13 11:38:39 GMT 2026","273","tests","test_products","TestProducts","","","Создание нового товара",""
"passed","Fri Mar 13 11:38:38 GMT 2026","Fri Mar 13 11:38:38 GMT 2026","373","tests","test_products","TestProducts","","","Негативная проверка получения товара по id",""
"passed","Fri Mar 13 11:38:45 GMT 2026","Fri Mar 13 11:38:45 GMT 2026","210","tests","test_session_management","TestSessionManagement","","","Сброс конкретного ресурса: products",""
"passed","Fri Mar 13 11:38:38 GMT 2026","Fri Mar 13 11:38:38 GMT 2026","209","tests","test_products","TestProducts","","","Негативная проверка получения товара по id",""
"passed","Fri Mar 13 11:38:39 GMT 2026","Fri Mar 13 11:38:40 GMT 2026","359","tests","test_products","TestProducts","","","Негативные проверки создания товара",""
"passed","Fri Mar 13 11:38:40 GMT 2026","Fri Mar 13 11:38:40 GMT 2026","213","tests","test_products","TestProducts","","","Негативные проверки создания товара",""
"passed","Fri Mar 13 11:38:42 GMT 2026","Fri Mar 13 11:38:42 GMT 2026","348","tests","test_products","TestProducts","","","Негативные проверки обновления товара",""
"passed","Fri Mar 13 11:38:40 GMT 2026","Fri Mar 13 11:38:40 GMT 2026","212","tests","test_products","TestProducts","","","Негативные проверки создания товара",""
"passed","Fri Mar 13 11:38:45 GMT 2026","Fri Mar 13 11:38:45 GMT 2026","138","tests","test_session_management","TestSessionManagement","","","Сброс конкретного ресурса: cart",""
"passed","Fri Mar 13 11:38:37 GMT 2026","Fri Mar 13 11:38:37 GMT 2026","383","tests","test_products","TestProducts","","","Получение товара по id",""
"passed","Fri Mar 13 11:38:44 GMT 2026","Fri Mar 13 11:38:45 GMT 2026","129","tests","test_session_management","TestSessionManagement","","","session_info",""
"passed","Fri Mar 13 11:38:43 GMT 2026","Fri Mar 13 11:38:44 GMT 2026","901","tests","test_products","TestProducts","","","Удаление товара",""
"passed","Fri Mar 13 11:38:40 GMT 2026","Fri Mar 13 11:38:41 GMT 2026","792","tests","test_products","TestProducts","","","Обновление товара",""
"passed","Fri Mar 13 11:38:44 GMT 2026","Fri Mar 13 11:38:44 GMT 2026","326","tests","test_products","TestProducts","","","Негативная проверка удаления: несуществующий ID",""
"passed","Fri Mar 13 11:38:37 GMT 2026","Fri Mar 13 11:38:37 GMT 2026","219","tests","test_products","TestProducts","","","Негативная проверка получения товара по id",""
"passed","Fri Mar 13 11:38:39 GMT 2026","Fri Mar 13 11:38:39 GMT 2026","789","tests","test_products","TestProducts","","","Создание нового товара и проверка его наличия через GET",""
"skipped","Fri Mar 13 11:38:41 GMT 2026","Fri Mar 13 11:38:42 GMT 2026","437","tests","test_products","TestProducts","","","Негативные проверки обновления товара",""
